"","x","y","share_100","year"
"172",-360.5,-663.5,0,2003
"173",-360.5,-663.5,0,2003
"174",-360.5,-663.5,0,2003
"175",-360.5,-663.5,0,2003
"176",-360.5,-663.5,0,2003
"177",-360.5,-663.5,0,2003
"178",-360.5,-663.5,0,2003
"179",-360.5,-663.5,0,2003
"180",-360.5,-663.5,0,2003
"181",-360.5,-663.5,0,2003
"182",-360.5,-663.5,0,2003
"183",-360.5,-663.5,0,2003
"184",-360.5,-663.5,0,2003
"185",-360.5,-663.5,0,2003
"186",-360.5,-663.5,0,2003
"187",-360.5,-663.5,0,2003
"188",-360.5,-663.5,0,2003
"189",-360.5,-663.5,0,2003
"190",-360.5,-663.5,0,2003
"191",-360.5,-663.5,0,2003
"192",-360.5,-663.5,0,2003
"193",-360.5,-663.5,0,2003
"194",-360.5,-663.5,0,2003
"195",-360.5,-663.5,0,2003
"196",-360.5,-663.5,0,2003
"197",-360.5,-663.5,0,2003
"198",-360.5,-663.5,0,2003
"199",-360.5,-663.5,0,2003
"200",-360.5,-663.5,0,2003
"201",-360.5,-663.5,0,2003
"202",-360.5,-663.5,0,2003
"203",-360.5,-663.5,0,2003
"204",-360.5,-663.5,0,2003
"205",-360.5,-663.5,0,2003
"206",-360.5,-663.5,0,2003
"207",-360.5,-663.5,0,2003
"208",-360.5,-663.5,0,2003
"209",-360.5,-663.5,0,2003
"210",-360.5,-663.5,0,2003
"211",-360.5,-663.5,0,2003
"212",-360.5,-663.5,0,2003
"213",-360.5,-663.5,0,2003
"214",-360.5,-663.5,0,2003
"215",-360.5,-663.5,0,2003
"216",-360.5,-663.5,0,2003
"217",-360.5,-663.5,0,2003
"218",-360.5,-663.5,0,2003
"219",-360.5,-663.5,0,2003
"220",-360.5,-663.5,0,2003
"221",-360.5,-663.5,0,2003
"222",-360.5,-663.5,0,2003
"223",-360.5,-663.5,0,2003
"224",-360.5,-663.5,0,2003
"225",-360.5,-663.5,0,2003
"226",-360.5,-663.5,0,2003
"227",-360.5,-663.5,0,2003
"228",-360.5,-663.5,0,2003
"229",-360.5,-663.5,0,2003
